Geo Point;Geo Shape;objectid;shape_leng;insee;nomcom;numdep;fusioinsee;nomcomto;st_areasha;st_lengths
48.2339884396,2.55980121131;"{""coordinates"": [[[2.542288072207185, 48.22319567919937], [2.53206265059803, 48.229850071886155], [2.546726372671746, 48.242621164210355], [2.57272376594561, 48.24433758956495], [2.586584971201523, 48.23233882602535], [2.585043807300659, 48.226232878906984], [2.560504942606641, 48.228267665645404], [2.542288072207185, 48.22319567919937]]], ""type"": ""Polygon""}";113;10462.643838599999;77200;Garentreville;77;;Garentreville;6101152.5;10462.643838551101
48.6461448761,2.15536092787;"{""coordinates"": [[[2.181789640372368, 48.63185851844056], [2.17264139805722, 48.625075710334045], [2.160241168256228, 48.629171836708935], [2.144672088903739, 48.64186159578451], [2.134577898963993, 48.642400392696516], [2.132652364897725, 48.655384704549775], [2.136912127604576, 48.66053395483448], [2.134431349506231, 48.66603006078738], [2.138656349758428, 48.66510716928048], [2.155439056839544, 48.659335373690055], [2.177108090322007, 48.65599679137555], [2.165598362647237, 48.648945403830275], [2.170938273949707, 48.639222707643114], [2.181789640372368, 48.63185851844056]]], ""type"": ""Polygon""}";118;14146.278974699999;91319;Janvry;91;;Janvry;8261757.5;14146.278974750208
49.0867480473,3.07964633492;"{""coordinates"": [[[3.075912284369979, 49.0527245634078], [3.070761315820677, 49.05751121160216], [3.058520340826142, 49.06112339317533], [3.046188088261841, 49.071711701224935], [3.047477548085467, 49.07502902092967], [3.06549719681905, 49.08180901799978], [3.066076434737007, 49.08521640406443], [3.056738441151865, 49.095767897256344], [3.056320678084198, 49.10191805097359], [3.071884293834166, 49.11755421881613], [3.079314637720355, 49.11273036025512], [3.114515245664615, 49.10715450524235], [3.110960394294642, 49.09065903744933], [3.089791102835012, 49.08045361902048], [3.087788892292767, 49.07011501644325], [3.096436225485377, 49.061917171245724], [3.075912284369979, 49.0527245634078]]], ""type"": ""Polygon""}";119;20776.4381745;77148;Crouy-sur-Ourcq;77;;Crouy-sur-Ourcq;19133818.0;20776.438174485862
48.4683664138,2.42068572026;"{""coordinates"": [[[2.444672047430658, 48.45263887700131], [2.412700367714456, 48.456272517066544], [2.407660084975451, 48.46065574026464], [2.399871546013017, 48.46041870293053], [2.403837375831907, 48.469722987919155], [2.385747754680619, 48.47332830414774], [2.391371982315056, 48.480689284867935], [2.400834819356814, 48.477948540853795], [2.415182717762267, 48.4811327833493], [2.436206338780357, 48.48030782569918], [2.436524087664634, 48.47717862280577], [2.445053291047977, 48.47543751628217], [2.441995942878729, 48.46902679440349], [2.444672047430658, 48.45263887700131]]], ""type"": ""Polygon""}";126;14001.857611399999;91654;Videlles;91;;Videlles;9011929.0;14001.857611441508
48.5040892203,3.39694181186;"{""coordinates"": [[[3.384093581302575, 48.478029192497985], [3.382610481879665, 48.478753673728825], [3.35854341802973, 48.511097581810745], [3.395380102657859, 48.52858568971581], [3.405398135568522, 48.52802119522402], [3.424828404766501, 48.51237244322559], [3.434908633778625, 48.496853831102975], [3.434637384957057, 48.49025168753387], [3.420498458956307, 48.49075238357554], [3.403747291057458, 48.48598857955683], [3.384093581302575, 48.478029192497985]]], ""type"": ""Polygon""}";154;17194.2536557;77289;Melz-sur-Seine;77;;Melz-sur-Seine;18820706.0;17194.253655718472
48.5977701825,2.88204553613;"{""coordinates"": [[[2.909158301352885, 48.57040814879508], [2.879269362669283, 48.57691223314766], [2.872749228170274, 48.582347629098805], [2.869286238520719, 48.59554895758363], [2.854705318806692, 48.591709070227594], [2.853097530935595, 48.59445964644051], [2.843079969468872, 48.602254716547556], [2.843697197494698, 48.60902889119473], [2.858655634598141, 48.61018996939788], [2.866840267350898, 48.61885268865355], [2.871272166118784, 48.62068355846459], [2.876481437439703, 48.620949931348996], [2.886700926972179, 48.61949389772555], [2.903511517440021, 48.611638003823494], [2.906175623723451, 48.608653751194424], [2.906168265072622, 48.60519061306977], [2.902538358408725, 48.595167045218886], [2.909151647640023, 48.589883066310605], [2.909773628799242, 48.58302912153318], [2.909158301352885, 48.57040814879508]]], ""type"": ""Polygon""}";159;18110.7235781;77317;Mormant;77;;Mormant;16329920.0;18110.723578122954
48.5078619555,2.16843822281;"{""coordinates"": [[[2.182278366422234, 48.518055273080506], [2.188094406918239, 48.51237350903097], [2.178339384663609, 48.504983440785665], [2.178040941163017, 48.49810813248434], [2.157859325953751, 48.497184101662306], [2.151481459270341, 48.50151099128731], [2.150175494677731, 48.50942748476526], [2.175366174533874, 48.52015762456832], [2.182278366422234, 48.518055273080506]]], ""type"": ""Polygon""}";167;8445.669126699999;91148;Chauffour-lès-Étréchy;91;;Chauffour-lès-Etréchy;4537431.0;8445.669126682038
48.8423952383,2.50406848573;"{""coordinates"": [[[2.504679851760672, 48.829724946841104], [2.497599519350123, 48.83081062067049], [2.491523260867017, 48.84763882832869], [2.499717550238718, 48.85567752564452], [2.503941324504134, 48.85723297930665], [2.513670428919681, 48.850168126645684], [2.511701114233563, 48.843639847721775], [2.5169948734598, 48.83406525167809], [2.514734807466692, 48.83098929530885], [2.504679851760672, 48.829724946841104]]], ""type"": ""Polygon""}";175;7955.92499869;94058;Le Perreux-sur-Marne;94;;Perreux-sur-Marne (le);3803982.0;7955.924998641115
48.2205966192,2.82537192194;"{""coordinates"": [[[2.862131017134769, 48.21752328774429], [2.825367128100785, 48.203590954339234], [2.807023267619585, 48.2102838407512], [2.795159150953893, 48.22175411363543], [2.805180603561685, 48.228078509386556], [2.80909538658572, 48.24033980165543], [2.828943957577241, 48.233774874159764], [2.85638449396412, 48.22154746056545], [2.862131017134769, 48.21752328774429]]], ""type"": ""Polygon""}";180;13370.5476232;77387;Remauville;77;;Remauville;10606513.0;13370.547623208537
48.3161510779,2.08520777998;"{""coordinates"": [[[2.061831565321016, 48.34351378085325], [2.072970578741461, 48.340218381988926], [2.08744788499712, 48.343560954766495], [2.102947035256989, 48.34328346163951], [2.105052166285983, 48.330603755774], [2.119967989396257, 48.32785429711376], [2.118765923125059, 48.323895380677875], [2.131374915156194, 48.323430702844455], [2.126795028331539, 48.31729657687188], [2.153877533680554, 48.308405557113396], [2.161900339024217, 48.30262309879972], [2.1615893467357, 48.29843692787255], [2.110599785181182, 48.29694895146956], [2.113716853702258, 48.30724786045628], [2.103783617854091, 48.306831145359816], [2.087542402758889, 48.29450593305562], [2.052708364877963, 48.29547390947901], [2.037179941801891, 48.29736412295278], [2.030569569588521, 48.31069907215186], [2.034811329129582, 48.324338462742794], [2.043787116219622, 48.33305813030643], [2.061831565321016, 48.34351378085325]]], ""type"": ""Polygon""}";188;20463.484457500002;91390;Le Mérévillois;91;91222-91390;Mérévillois (le);33743462.0;28805.675094582606
